"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\asgi.py", "Python", 4, 0, 8, 5, 17
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\settings.py", "Python", 73, 0, 27, 32, 132
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\urls.py", "Python", 10, 0, 15, 2, 27
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\views.py", "Python", 4, 0, 1, 2, 7
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\atlasonline\wsgi.py", "Python", 4, 0, 8, 5, 17
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\manage.py", "Python", 15, 0, 3, 5, 23
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\admin.py", "Python", 12, 0, 1, 3, 16
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\apps.py", "Python", 3, 0, 0, 3, 6
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\migrations\0001_initial.py", "Python", 147, 0, 1, 7, 155
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\models.py", "Python", 106, 0, 7, 51, 164
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\appliances.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\basic.html", "HTML", 0, 155, 29, 33, 217
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\beauty.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\beverages.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\cleaning.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\clothes.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\daily_items.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\electronics.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\food.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\furniture.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\health.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\index.html", "HTML", 0, 325, 42, 55, 422
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\medical.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\office.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\templates\shop\sports_equipment.html", "HTML", 0, 53, 0, 18, 71
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\urls.py", "Python", 18, 0, 0, 2, 20
"c:\Users\ARJIT\OneDrive\Documents\django projects\E_commerce_website\atlasonline\shop\views.py", "Python", 61, 0, 1, 17, 79
"Total", "-", 458, 1169, 144, 461, 2232
